gene,group,mAP
ABCF1,Whole cell hit,0.49722222222222223
ABLIM1,Whole cell hit,0.1994047619047619
ACTR2,Whole cell hit,1.0
ACTR3,Whole cell hit,1.0
ADAR,Whole cell hit,0.18075396825396828
ALG13,Whole cell hit,0.75
ALG5,Whole cell hit,0.6277777777777778
ALG8,Whole cell hit,0.6081018518518518
ANAPC10,Whole cell hit,0.2759259259259259
ANXA2,Whole cell hit,0.9791666666666666
APEX1,Whole cell hit,0.058333333333333334
ARF4,Whole cell hit,1.0
ARPC1A,Whole cell hit,0.7902777777777777
ARPC2,Whole cell hit,1.0
ARPC3,Whole cell hit,1.0
ARPC4,Whole cell hit,1.0
ARPC5L,Whole cell hit,0.18888888888888888
ATF3,Whole cell hit,0.17708333333333331
ATF4,Whole cell hit,0.4444444444444444
ATG14,Whole cell hit,0.5361111111111111
ATIC,Whole cell hit,0.5
ATL2,Whole cell hit,0.5918650793650794
ATP6V0A1,Whole cell hit,0.10416666666666666
ATP6V0B,Whole cell hit,1.0
ATP6V0C,Whole cell hit,1.0
ATP6V0D1,Whole cell hit,0.5357142857142857
ATP6V0E1,Whole cell hit,0.20277777777777775
ATP6V1H,Whole cell hit,1.0
ATRIP,Whole cell hit,0.7722222222222221
AURKB,Whole cell hit,0.09999999999999999
BANP,Whole cell hit,0.041666666666666664
BCL2L1,Whole cell hit,0.736111111111111
BOD1,Whole cell hit,0.3384259259259259
BOD1L1,Whole cell hit,0.34444444444444444
BRAP,Whole cell hit,0.45238095238095233
CASC3,Whole cell hit,0.27638888888888885
CCT4,Whole cell hit,0.11203703703703703
CDC23,Whole cell hit,0.048611111111111105
CDC73,Whole cell hit,0.8912698412698412
CDCA2,Whole cell hit,0.5319444444444444
CDK13,Whole cell hit,1.0
CENPK,Whole cell hit,0.030555555555555555
CHMP6,Whole cell hit,0.5051587301587301
CHP1,Whole cell hit,0.2876984126984127
CIAO1,Whole cell hit,0.8652777777777777
CIT,Whole cell hit,1.0
CNOT6,Whole cell hit,0.10416666666666667
CNOT7,Whole cell hit,0.19444444444444442
COA5,Whole cell hit,0.266765873015873
COG3,Whole cell hit,0.4666666666666667
COG4,Whole cell hit,0.9791666666666666
COPA,Whole cell hit,0.3055555555555555
COPZ1,Whole cell hit,0.11041666666666666
COX14,Whole cell hit,0.6778439153439153
COX17,Whole cell hit,0.5962962962962962
COX4I1,Whole cell hit,0.16666666666666666
COX7C,Whole cell hit,0.24166666666666664
COX8A,Whole cell hit,0.17407407407407405
CPSF1,Whole cell hit,0.9791666666666666
CPSF3,Whole cell hit,0.7118055555555556
CPSF6,Whole cell hit,0.6666666666666666
CPT1B,Whole cell hit,0.09375
CRKL,Whole cell hit,1.0
CSE1L,Whole cell hit,0.5
CYB561A3,Whole cell hit,0.4444444444444444
CYCS,Whole cell hit,0.5
DCAF15,Whole cell hit,0.27499999999999997
DCTN5,Whole cell hit,1.0
DDA1,Whole cell hit,0.3411706349206349
DDX6,Whole cell hit,1.0
DHX35,Whole cell hit,1.0
DHX8,Whole cell hit,0.1111111111111111
DNA2,Whole cell hit,0.5
DNAJC24,Whole cell hit,0.283531746031746
DNM1L,Whole cell hit,1.0
DPH2,Whole cell hit,0.3931547619047619
DPM3,Whole cell hit,0.35000000000000003
DRG2,Whole cell hit,0.9201388888888888
DVL1,Whole cell hit,0.4682539682539682
DYNLL1,Whole cell hit,1.0
EEF1G,Whole cell hit,1.0
EEF2,Whole cell hit,0.9180555555555555
EIF2AK4,Whole cell hit,0.6152777777777777
EIF2B1,Whole cell hit,0.7071428571428571
EIF2B2,Whole cell hit,1.0
