Gene,DNA,Phalloidin,WGA,ConA,Catalase,btubulin,Calnexin,NfKb,COXIV,LAMP1,PRSP6,Syto9,TDP43,G3BP1,GM130,Sum
HAUS3,24.0,11.0,8.0,18.0,7.0,8.0,15.0,10.0,26.0,7.0,6.0,19.0,22.0,8.0,22.0,166.0
HDAC3,33.0,23.0,49.0,48.0,12.0,40.0,34.0,42.0,29.0,46.0,49.0,39.0,56.0,14.0,24.0,381.0
HSP90B1,157.0,123.0,112.0,136.0,89.0,95.0,118.0,110.0,147.0,78.0,120.0,174.0,123.0,103.0,124.0,1475.0
HYOU1,89.0,63.0,39.0,48.0,41.0,50.0,72.0,47.0,72.0,41.0,63.0,94.0,49.0,33.0,40.0,634.0
INO80,84.0,82.0,65.0,48.0,45.0,67.0,58.0,57.0,69.0,76.0,112.0,86.0,74.0,39.0,78.0,806.0
INTS14,23.0,5.0,22.0,25.0,9.0,17.0,12.0,9.0,26.0,16.0,19.0,12.0,15.0,13.0,25.0,166.0
INTS7,37.0,22.0,31.0,14.0,22.0,27.0,31.0,19.0,20.0,10.0,53.0,35.0,20.0,44.0,37.0,309.0
ITGAV,115.0,75.0,71.0,70.0,45.0,67.0,74.0,70.0,88.0,56.0,80.0,125.0,71.0,58.0,75.0,907.0
ITGB1,195.0,117.0,118.0,133.0,95.0,99.0,121.0,93.0,160.0,93.0,119.0,177.0,141.0,91.0,127.0,1579.0
ITGB5,165.0,122.0,109.0,143.0,95.0,119.0,117.0,104.0,165.0,101.0,156.0,184.0,143.0,103.0,139.0,1615.0
ITPK1,36.0,7.0,16.0,28.0,6.0,8.0,21.0,15.0,51.0,22.0,13.0,22.0,22.0,6.0,33.0,233.0
JOSD1,25.0,20.0,6.0,13.0,2.0,12.0,13.0,9.0,20.0,9.0,32.0,14.0,17.0,4.0,16.0,147.0
KATNA1,78.0,83.0,98.0,105.0,56.0,66.0,76.0,75.0,106.0,97.0,74.0,129.0,76.0,44.0,64.0,1001.0
KCTD10,20.0,26.0,19.0,21.0,17.0,15.0,20.0,11.0,37.0,13.0,19.0,29.0,27.0,11.0,23.0,243.0
KDM1A,58.0,36.0,80.0,65.0,30.0,31.0,49.0,31.0,68.0,55.0,43.0,67.0,38.0,36.0,43.0,557.0
KDM5A,25.0,12.0,33.0,22.0,13.0,17.0,16.0,30.0,23.0,28.0,19.0,41.0,24.0,13.0,29.0,253.0
KIF5B,18.0,58.0,94.0,39.0,17.0,43.0,24.0,24.0,49.0,82.0,35.0,27.0,25.0,15.0,22.0,387.0
KPNA6,16.0,14.0,29.0,19.0,5.0,4.0,14.0,11.0,27.0,28.0,30.0,28.0,23.0,17.0,14.0,201.0
LAMP1,33.0,17.0,29.0,31.0,16.0,20.0,36.0,19.0,42.0,114.0,31.0,32.0,32.0,12.0,28.0,367.0
LAMTOR3,88.0,75.0,76.0,87.0,59.0,56.0,65.0,90.0,127.0,55.0,141.0,121.0,99.0,85.0,103.0,1016.0
MAD1L1,22.0,7.0,21.0,15.0,12.0,17.0,19.0,15.0,17.0,31.0,28.0,27.0,34.0,16.0,19.0,237.0
MAP1LC3B,18.0,8.0,8.0,11.0,9.0,11.0,13.0,14.0,42.0,11.0,22.0,21.0,14.0,9.0,26.0,166.0
MAPK3,15.0,31.0,12.0,18.0,2.0,11.0,6.0,11.0,12.0,22.0,59.0,12.0,12.0,6.0,8.0,168.0
MCM3,19.0,14.0,20.0,20.0,10.0,13.0,14.0,17.0,18.0,14.0,21.0,27.0,9.0,6.0,16.0,172.0
MCM5,65.0,59.0,48.0,87.0,48.0,56.0,64.0,41.0,92.0,48.0,81.0,72.0,55.0,55.0,74.0,788.0
MED12,171.0,104.0,107.0,149.0,101.0,113.0,134.0,107.0,178.0,111.0,134.0,182.0,124.0,116.0,143.0,1625.0
MED17,26.0,11.0,13.0,13.0,5.0,11.0,17.0,18.0,44.0,11.0,9.0,19.0,18.0,6.0,13.0,184.0
MED8,18.0,23.0,19.0,9.0,8.0,10.0,10.0,15.0,42.0,20.0,12.0,26.0,12.0,14.0,16.0,187.0
MED9,12.0,6.0,10.0,14.0,7.0,11.0,17.0,20.0,30.0,21.0,15.0,14.0,17.0,10.0,17.0,174.0
MFN2,21.0,32.0,45.0,35.0,16.0,21.0,29.0,28.0,106.0,15.0,53.0,50.0,56.0,25.0,41.0,426.0
MNT,17.0,16.0,16.0,16.0,5.0,2.0,22.0,21.0,21.0,24.0,9.0,16.0,1.0,3.0,13.0,143.0
MORF4L2,24.0,26.0,24.0,26.0,25.0,28.0,25.0,13.0,66.0,13.0,38.0,34.0,33.0,27.0,36.0,337.0
MRPL13,72.0,51.0,33.0,51.0,36.0,44.0,59.0,42.0,90.0,27.0,60.0,68.0,52.0,49.0,75.0,597.0
MRPL18,6.0,10.0,17.0,12.0,3.0,5.0,6.0,11.0,55.0,4.0,22.0,6.0,7.0,10.0,11.0,112.0
MRPL28,6.0,19.0,9.0,9.0,1.0,12.0,5.0,15.0,21.0,7.0,54.0,12.0,9.0,6.0,10.0,129.0
MRPL57,29.0,21.0,23.0,24.0,9.0,12.0,30.0,17.0,45.0,31.0,30.0,19.0,14.0,12.0,24.0,249.0
MRPS18C,18.0,14.0,22.0,9.0,5.0,10.0,14.0,11.0,57.0,11.0,27.0,5.0,9.0,15.0,15.0,157.0
MRPS31,43.0,16.0,17.0,25.0,4.0,13.0,31.0,16.0,29.0,10.0,21.0,19.0,11.0,21.0,21.0,224.0
MTOR,122.0,97.0,114.0,127.0,67.0,80.0,131.0,96.0,162.0,110.0,146.0,152.0,125.0,84.0,145.0,1410.0
MVB12A,16.0,4.0,14.0,6.0,2.0,5.0,8.0,15.0,25.0,19.0,9.0,6.0,15.0,5.0,9.0,120.0
MYC,116.0,74.0,97.0,106.0,77.0,84.0,113.0,67.0,150.0,79.0,84.0,143.0,90.0,87.0,121.0,1209.0
MYO1B,30.0,49.0,24.0,17.0,12.0,16.0,12.0,16.0,38.0,25.0,36.0,18.0,12.0,17.0,27.0,259.0
MYO1E,5.0,22.0,16.0,26.0,5.0,13.0,6.0,6.0,12.0,12.0,15.0,5.0,7.0,8.0,11.0,120.0
NCOR1,39.0,31.0,44.0,25.0,9.0,14.0,37.0,21.0,32.0,56.0,12.0,31.0,15.0,29.0,33.0,330.0
NDEL1,4.0,5.0,47.0,10.0,3.0,4.0,6.0,7.0,8.0,74.0,4.0,5.0,4.0,4.0,3.0,134.0
NDUFA10,21.0,7.0,9.0,7.0,10.0,10.0,24.0,11.0,30.0,8.0,18.0,10.0,15.0,11.0,8.0,131.0
NDUFA11,18.0,5.0,19.0,26.0,11.0,9.0,17.0,14.0,69.0,19.0,14.0,13.0,17.0,14.0,21.0,175.0
NDUFA2,5.0,8.0,9.0,5.0,10.0,2.0,33.0,5.0,46.0,3.0,4.0,11.0,5.0,19.0,17.0,125.0
NEDD8,64.0,43.0,33.0,37.0,31.0,36.0,37.0,36.0,52.0,21.0,33.0,52.0,65.0,31.0,45.0,565.0
NMD3,40.0,22.0,38.0,40.0,35.0,47.0,44.0,40.0,74.0,10.0,31.0,59.0,21.0,55.0,69.0,481.0
NPEPPS,82.0,66.0,45.0,74.0,43.0,55.0,84.0,35.0,86.0,52.0,74.0,69.0,69.0,45.0,82.0,739.0
NSMCE4A,52.0,19.0,22.0,42.0,23.0,22.0,32.0,24.0,42.0,20.0,58.0,64.0,54.0,24.0,37.0,425.0
NUDT12,14.0,6.0,4.0,1.0,7.0,7.0,48.0,4.0,11.0,1.0,8.0,13.0,10.0,34.0,9.0,129.0
NUP188,6.0,9.0,17.0,13.0,2.0,4.0,7.0,4.0,15.0,11.0,12.0,15.0,6.0,8.0,5.0,111.0
NUP93,7.0,11.0,10.0,7.0,10.0,13.0,13.0,17.0,14.0,7.0,25.0,11.0,15.0,7.0,15.0,133.0
OSTC,12.0,7.0,27.0,11.0,3.0,5.0,23.0,17.0,11.0,94.0,24.0,17.0,18.0,6.0,7.0,193.0
PABPN1,7.0,4.0,6.0,8.0,0.0,4.0,3.0,28.0,3.0,26.0,14.0,12.0,24.0,2.0,4.0,102.0
PAFAH1B1,12.0,12.0,75.0,20.0,11.0,6.0,33.0,19.0,17.0,91.0,12.0,17.0,12.0,11.0,12.0,258.0
PAK2,119.0,114.0,60.0,107.0,66.0,71.0,87.0,76.0,118.0,66.0,74.0,105.0,88.0,62.0,69.0,1083.0
PDCD6IP,60.0,58.0,30.0,52.0,33.0,34.0,48.0,35.0,52.0,38.0,57.0,66.0,44.0,30.0,47.0,567.0
PEF1,10.0,1.0,16.0,8.0,4.0,1.0,5.0,4.0,15.0,11.0,6.0,15.0,14.0,12.0,4.0,104.0
PER1,40.0,13.0,24.0,22.0,11.0,11.0,19.0,11.0,31.0,48.0,15.0,17.0,19.0,19.0,25.0,250.0
PHB2,42.0,27.0,34.0,26.0,22.0,32.0,43.0,19.0,43.0,28.0,49.0,34.0,23.0,18.0,29.0,354.0
PLRG1,29.0,7.0,14.0,12.0,0.0,7.0,18.0,9.0,21.0,21.0,19.0,19.0,13.0,11.0,8.0,169.0
PML,51.0,15.0,27.0,29.0,27.0,27.0,35.0,23.0,61.0,25.0,51.0,38.0,31.0,28.0,53.0,379.0
POGZ,50.0,39.0,37.0,33.0,31.0,43.0,32.0,42.0,52.0,25.0,45.0,39.0,37.0,64.0,58.0,444.0
POLD2,146.0,81.0,95.0,130.0,73.0,90.0,94.0,71.0,116.0,82.0,118.0,140.0,111.0,83.0,109.0,1276.0
PPP1CA,19.0,26.0,27.0,29.0,9.0,29.0,29.0,28.0,27.0,34.0,82.0,41.0,33.0,19.0,24.0,326.0
PPP2R2A,81.0,48.0,102.0,94.0,24.0,45.0,60.0,56.0,85.0,99.0,117.0,65.0,55.0,21.0,51.0,720.0
PPP2R3C,24.0,37.0,43.0,32.0,7.0,15.0,26.0,35.0,55.0,13.0,22.0,36.0,27.0,13.0,21.0,305.0
PRIM2,119.0,54.0,68.0,96.0,56.0,58.0,66.0,51.0,81.0,48.0,96.0,96.0,69.0,48.0,70.0,920.0
PRMT5,64.0,16.0,48.0,37.0,26.0,29.0,64.0,36.0,29.0,41.0,36.0,51.0,51.0,29.0,45.0,483.0
PSMA3,11.0,8.0,9.0,5.0,7.0,15.0,12.0,23.0,24.0,4.0,14.0,16.0,13.0,13.0,8.0,129.0
PSMB5,16.0,3.0,3.0,6.0,7.0,8.0,9.0,13.0,19.0,7.0,12.0,19.0,17.0,11.0,17.0,116.0
PSMC6,12.0,6.0,5.0,5.0,6.0,5.0,6.0,9.0,16.0,4.0,16.0,9.0,10.0,11.0,17.0,103.0
PSMD10,30.0,49.0,27.0,22.0,10.0,24.0,15.0,80.0,66.0,62.0,15.0,25.0,15.0,12.0,14.0,321.0
PSMD13,69.0,27.0,34.0,43.0,35.0,43.0,55.0,62.0,76.0,27.0,38.0,50.0,38.0,38.0,52.0,511.0
PSMD5,17.0,17.0,18.0,6.0,8.0,14.0,8.0,69.0,21.0,34.0,6.0,13.0,9.0,4.0,9.0,169.0
PSMD9,26.0,19.0,3.0,5.0,1.0,5.0,6.0,12.0,10.0,6.0,5.0,22.0,7.0,7.0,5.0,101.0
PSMF1,15.0,16.0,35.0,17.0,13.0,16.0,18.0,16.0,28.0,37.0,43.0,9.0,18.0,8.0,17.0,224.0
RAB10,25.0,85.0,63.0,38.0,33.0,42.0,34.0,39.0,56.0,54.0,47.0,31.0,25.0,48.0,37.0,515.0
RAB11FIP3,9.0,22.0,8.0,9.0,3.0,8.0,6.0,10.0,24.0,12.0,32.0,19.0,18.0,3.0,8.0,144.0
RAC1,169.0,113.0,109.0,121.0,78.0,93.0,122.0,113.0,138.0,77.0,127.0,196.0,123.0,88.0,120.0,1443.0
RBM17,7.0,3.0,14.0,13.0,2.0,4.0,4.0,6.0,5.0,55.0,11.0,8.0,3.0,4.0,7.0,105.0
RBP1,23.0,7.0,13.0,11.0,3.0,7.0,14.0,8.0,26.0,7.0,12.0,5.0,13.0,18.0,7.0,131.0
RBPMS,28.0,19.0,16.0,24.0,12.0,26.0,40.0,11.0,39.0,18.0,34.0,24.0,21.0,28.0,35.0,289.0
RCC1,7.0,5.0,18.0,4.0,4.0,6.0,12.0,7.0,20.0,2.0,16.0,12.0,7.0,10.0,20.0,114.0
REEP5,27.0,6.0,7.0,12.0,9.0,10.0,30.0,13.0,24.0,5.0,18.0,15.0,14.0,42.0,17.0,168.0
RELA,7.0,10.0,8.0,12.0,6.0,11.0,15.0,123.0,11.0,9.0,9.0,28.0,14.0,3.0,9.0,204.0
RFC3,170.0,93.0,107.0,146.0,91.0,105.0,112.0,81.0,152.0,89.0,130.0,155.0,123.0,88.0,121.0,1494.0
RFC5,143.0,83.0,99.0,118.0,65.0,78.0,85.0,61.0,119.0,73.0,102.0,120.0,93.0,67.0,85.0,1181.0
RHEB,12.0,8.0,19.0,15.0,5.0,11.0,12.0,6.0,20.0,24.0,76.0,17.0,11.0,12.0,17.0,197.0
RHOB,16.0,23.0,17.0,13.0,9.0,13.0,8.0,5.0,16.0,15.0,12.0,9.0,6.0,5.0,6.0,122.0
RNPS1,8.0,15.0,16.0,7.0,5.0,13.0,20.0,18.0,22.0,8.0,64.0,13.0,19.0,6.0,15.0,182.0
RPL18,21.0,14.0,10.0,6.0,17.0,23.0,16.0,9.0,33.0,4.0,14.0,15.0,13.0,22.0,27.0,192.0
RPL19,39.0,15.0,23.0,22.0,37.0,33.0,25.0,27.0,63.0,21.0,30.0,52.0,25.0,32.0,50.0,391.0
RPL29,16.0,18.0,23.0,28.0,18.0,33.0,26.0,35.0,46.0,35.0,28.0,31.0,19.0,27.0,21.0,289.0
RPL32,20.0,17.0,16.0,24.0,23.0,40.0,25.0,23.0,63.0,11.0,31.0,29.0,8.0,37.0,48.0,306.0
RPL35A,9.0,26.0,6.0,7.0,7.0,15.0,6.0,3.0,14.0,11.0,12.0,7.0,4.0,15.0,20.0,122.0
RPL36,18.0,19.0,10.0,19.0,19.0,31.0,29.0,25.0,57.0,12.0,33.0,27.0,16.0,21.0,30.0,276.0
RPL37,19.0,4.0,18.0,16.0,8.0,13.0,19.0,19.0,27.0,5.0,8.0,16.0,12.0,9.0,13.0,154.0
RPL39,42.0,22.0,33.0,40.0,33.0,44.0,25.0,21.0,43.0,9.0,38.0,43.0,25.0,16.0,36.0,352.0
RPL4,25.0,18.0,6.0,16.0,15.0,18.0,17.0,8.0,64.0,14.0,16.0,14.0,13.0,18.0,25.0,231.0
RPL5,8.0,7.0,3.0,3.0,12.0,17.0,14.0,11.0,32.0,7.0,10.0,22.0,6.0,11.0,15.0,128.0
RPN1,11.0,11.0,12.0,28.0,6.0,12.0,31.0,15.0,21.0,34.0,25.0,28.0,28.0,6.0,8.0,189.0
RPS12,18.0,15.0,23.0,30.0,7.0,25.0,22.0,14.0,22.0,35.0,40.0,37.0,20.0,13.0,20.0,253.0
RPS16,43.0,50.0,44.0,40.0,26.0,49.0,44.0,41.0,47.0,58.0,67.0,78.0,45.0,22.0,42.0,544.0
RPS24,49.0,46.0,41.0,42.0,30.0,32.0,32.0,37.0,61.0,44.0,56.0,65.0,37.0,21.0,36.0,501.0
RPS4X,26.0,19.0,9.0,16.0,8.0,12.0,18.0,21.0,22.0,12.0,27.0,35.0,34.0,7.0,12.0,228.0
RPS6,51.0,39.0,43.0,39.0,25.0,28.0,42.0,35.0,41.0,44.0,34.0,57.0,38.0,17.0,32.0,463.0
RPS8,11.0,9.0,16.0,9.0,8.0,10.0,9.0,25.0,18.0,12.0,20.0,22.0,17.0,12.0,20.0,164.0
RRAGC,53.0,30.0,53.0,42.0,24.0,29.0,44.0,39.0,55.0,52.0,67.0,51.0,36.0,46.0,60.0,518.0
RSU1,152.0,122.0,85.0,126.0,77.0,88.0,114.0,84.0,142.0,77.0,116.0,151.0,125.0,75.0,117.0,1380.0
SAP130,39.0,9.0,14.0,19.0,14.0,21.0,15.0,26.0,24.0,19.0,21.0,36.0,11.0,29.0,26.0,222.0
SCNM1,13.0,20.0,27.0,10.0,7.0,18.0,10.0,12.0,19.0,40.0,62.0,18.0,21.0,11.0,13.0,211.0
SCO1,13.0,9.0,29.0,18.0,6.0,7.0,21.0,8.0,31.0,35.0,9.0,24.0,10.0,8.0,12.0,190.0
SDHB,41.0,89.0,42.0,50.0,38.0,40.0,74.0,31.0,95.0,65.0,70.0,72.0,37.0,62.0,54.0,639.0
SDHD,39.0,79.0,29.0,29.0,21.0,24.0,45.0,24.0,78.0,46.0,48.0,45.0,19.0,48.0,38.0,425.0
SEC11A,60.0,49.0,51.0,53.0,38.0,48.0,64.0,43.0,96.0,51.0,65.0,61.0,44.0,41.0,58.0,629.0
SEPHS2,6.0,27.0,25.0,9.0,2.0,7.0,16.0,14.0,15.0,7.0,52.0,20.0,6.0,6.0,8.0,146.0
SETDB1,27.0,70.0,70.0,55.0,37.0,52.0,46.0,54.0,103.0,63.0,59.0,57.0,32.0,45.0,43.0,573.0
SF3B3,33.0,12.0,11.0,9.0,12.0,6.0,10.0,14.0,18.0,10.0,8.0,25.0,23.0,8.0,14.0,179.0
SF3B4,39.0,18.0,18.0,20.0,15.0,12.0,20.0,11.0,23.0,32.0,49.0,29.0,29.0,18.0,28.0,267.0
SFPQ,12.0,24.0,32.0,23.0,16.0,33.0,29.0,18.0,29.0,7.0,30.0,32.0,24.0,14.0,30.0,261.0
SH3BP4,92.0,45.0,61.0,59.0,41.0,42.0,52.0,49.0,95.0,38.0,53.0,94.0,56.0,50.0,67.0,727.0
SHOC2,73.0,29.0,34.0,65.0,46.0,44.0,73.0,29.0,92.0,22.0,50.0,81.0,55.0,62.0,79.0,662.0
SLC25A6,11.0,8.0,8.0,8.0,4.0,7.0,5.0,4.0,81.0,5.0,7.0,17.0,11.0,6.0,21.0,142.0
SLC27A2,14.0,7.0,25.0,15.0,7.0,14.0,15.0,12.0,22.0,21.0,18.0,14.0,3.0,14.0,15.0,134.0
SLC35A1,9.0,12.0,136.0,27.0,2.0,9.0,10.0,21.0,11.0,55.0,11.0,14.0,7.0,6.0,14.0,242.0
SLC46A1,18.0,28.0,4.0,16.0,8.0,5.0,39.0,12.0,36.0,15.0,4.0,9.0,10.0,11.0,17.0,158.0
SMG7,38.0,46.0,79.0,56.0,44.0,59.0,67.0,52.0,72.0,44.0,72.0,56.0,65.0,57.0,59.0,610.0
SREBF1,16.0,6.0,25.0,14.0,3.0,9.0,22.0,8.0,16.0,39.0,3.0,10.0,11.0,4.0,6.0,138.0
SRPRB,24.0,26.0,28.0,23.0,24.0,44.0,21.0,37.0,54.0,38.0,35.0,25.0,19.0,33.0,30.0,359.0
SRSF1,61.0,31.0,26.0,41.0,25.0,27.0,49.0,29.0,62.0,24.0,50.0,54.0,49.0,32.0,69.0,516.0
SSR2,14.0,12.0,34.0,22.0,10.0,10.0,21.0,27.0,18.0,73.0,46.0,17.0,52.0,11.0,17.0,259.0
SSR3,9.0,28.0,43.0,21.0,10.0,12.0,46.0,38.0,21.0,88.0,35.0,12.0,14.0,10.0,17.0,269.0
SSR4,3.0,6.0,14.0,5.0,2.0,3.0,15.0,6.0,7.0,58.0,16.0,8.0,4.0,5.0,5.0,103.0
ST3GAL1,26.0,16.0,40.0,18.0,16.0,18.0,29.0,16.0,30.0,7.0,28.0,39.0,24.0,12.0,20.0,266.0
ST3GAL4,5.0,10.0,112.0,13.0,2.0,4.0,8.0,7.0,11.0,31.0,6.0,9.0,9.0,9.0,5.0,173.0
STAG1,72.0,30.0,43.0,51.0,34.0,41.0,54.0,27.0,94.0,35.0,43.0,54.0,58.0,55.0,73.0,579.0
STRIP1,33.0,44.0,41.0,49.0,31.0,38.0,45.0,45.0,54.0,45.0,49.0,68.0,42.0,24.0,31.0,489.0
STT3A,19.0,22.0,30.0,22.0,7.0,8.0,67.0,31.0,23.0,82.0,21.0,36.0,24.0,8.0,14.0,283.0
STT3B,7.0,9.0,29.0,50.0,5.0,9.0,14.0,25.0,21.0,30.0,16.0,21.0,6.0,5.0,13.0,184.0
SUGP1,26.0,17.0,22.0,31.0,17.0,15.0,16.0,15.0,26.0,27.0,39.0,43.0,12.0,15.0,19.0,252.0
SUV39H1,30.0,19.0,29.0,36.0,27.0,22.0,24.0,23.0,42.0,20.0,36.0,32.0,24.0,34.0,43.0,337.0
SYMPK,10.0,5.0,5.0,3.0,8.0,18.0,5.0,17.0,8.0,5.0,24.0,16.0,27.0,9.0,9.0,134.0
SYNCRIP,15.0,20.0,27.0,17.0,15.0,13.0,18.0,13.0,11.0,6.0,41.0,19.0,12.0,27.0,15.0,188.0
TAF5L,71.0,74.0,48.0,39.0,29.0,40.0,75.0,34.0,52.0,63.0,52.0,59.0,63.0,45.0,40.0,580.0
TARDBP,116.0,58.0,101.0,96.0,61.0,72.0,92.0,74.0,99.0,106.0,108.0,122.0,202.0,71.0,97.0,1170.0
